"Rank","Head Location","Starting TMC Code","Latitude","Longitude","Average max length","Average daily duration","Total duration","All events/incidents","Volume Estimate","Base Impact","Speed differential","Congestion","TOTAL DELAY","Segment IDs"
1,"US-321 W @ US-441/TN-71/CHAPMAN HWY/DAVIS RD","121-05547","35.80414","-83.57542","7.07"," 2 h 39 m","3 d 7 h 54 m","0","21,652","34,087","755,143","48,843","24,611,694","121-05547, 121N08263, 121-08263, 121N05548"
2,"US-441 S @ US-321/WEARS VALLEY RD","121N12282","35.80449","-83.5761","0.72"," 10 h 22 m","12 d 23 h 27 m","0","23,916","22,923","475,738","35,992","24,186,780","121N12282, 121-12282, 121-12283, 121N12284"
3,"RIVERSIDE DR S @ I-55/US-61/TN-1/W EH CRUMP BLVD","113-10752","35.12622","-90.06704","1.7"," 8 h 37 m","10 d 18 h 58 m","0","26,552","25,927","424,792","28,555","15,397,661","113-10752, 113-10753, 113N10754"
4,"US-321 E @ US-441/TN-71/PARKWAY","121P05548","35.71478","-83.5101","1.2"," 4 h 39 m","5 d 19 h 58 m","0","16,634","11,228","200,630","19,068","12,457,105","121P05548, 121+05548, 121P08263, 121+08263"
5,"US-31 N @ THOMPSON STATION RD","121+05210","35.797","-86.90544","3.63"," 4 h 41 m","5 d 20 h 44 m","0","8,189","28,667","533,289","37,670","7,634,462","121+05210, 121P05209, 121+05209"
6,"TN-254 W @ US-31/TN-6/FRANKLIN RD","121-09260","36.0375","-86.78654","0.35"," 13 h 32 m","16 d 22 h 28 m","0","27,682","7,308","138,220","9,944","7,111,424","121-09260, 121N09261, 121-09261, 121-09262, 121N09263, 121-09263"
7,"TN-254 E @ EDMONSON PIKE","121+09262","36.04","-86.74349","2.83"," 2 h 4 m","2 d 14 h 27 m","0","29,249","9,148","180,513","11,279","7,081,843","121+09262, 121P09261, 121+09261, 121+09260"
8,"RIVERSIDE DR N @ I-40/HERNANDO DESOTO BRG","113+10754","35.14786","-90.05437","1.38"," 10 h 57 m","13 d 16 h 32 m","0","13,154","22,506","362,278","24,678","6,658,552","113+10754, 113+10753, 113P10752"
9,"US-31A S @ TN-255/HARDING PL","121N09063","36.07894","-86.72613","1"," 3 h 56 m","4 d 22 h 4 m","0","17,396","6,708","118,661","10,993","6,612,284","121N09063, 121-09063, 121-09064, 121N09065, 121-09065, 121N09066, 121-09066, 121N09067, 121-09067"
10,"TN-99 E @ I-24","121+50884","35.82565","-86.41544","1.96"," 4 h 10 m","5 d 5 h 9 m","0","11,146","14,635","305,672","21,894","6,433,956","121+50884, 121+50883, 121P50882"
11,"US-31 S @ TN-247/BEECHCROFT RD/DUPLEX RD","121N05209","35.75251","-86.92889","2.3"," 4 h 59 m","6 d 5 h 40 m","0","9,072","20,299","407,986","26,970","5,582,570","121N05209, 121-05209, 121-05210, 121N11637, 121-11637, 121N05211, 121-05211, 121-05957, 121-05212"
12,"US-431 S @ TN-155/WOODMONT BLVD","121-07415","36.11397","-86.81089","0.91"," 4 h 48 m","6 d 16 m","0","20,530","6,561","112,269","9,043","5,436,140","121-07415, 121N07408, 121-07408, 121N07416, 121-07416, 121-07409"
13,"US-441 S @ HISTORIC NATURE TRL/AIRPORT RD","121-11065","35.71103","-83.51887","0.56"," 7 h 20 m","9 d 4 h 17 m","0","10,181","7,475","51,266","8,909","5,322,645","121-11065, 121N11066"
14,"US-412 W @ CAMPBELL ST/OLD MEDINA RD/EXIT 83","121P05785","35.67388","-88.81208","1.6"," 1 h 22 m","1 d 17 h 25 m","0","21,168","4,910","226,910","12,773","5,029,131","121P05785, 121+05785, 121P08575, 121+08575, 121P08597, 121+08597"
15,"US-70 E @ US-431/US-70S/BROADWAY","121P04427","36.156","-86.78884","0.91"," 1 h 48 m","2 d 6 h 2 m","0","38,106","2,387","29,194","3,189","4,895,870","121P04427, 121+04427, 121P04426, 121+04426, 121P04425, 121+04425, 121+04424, 121+04423"
16,"TN-155 S @ US-70/TN-24/CHARLOTTE AVE","121+09010","36.15016","-86.85793","0.26"," 6 h 12 m","7 d 18 h 17 m","0","47,887","2,763","48,863","3,684","4,772,341","121+09010, 121P05904, 121+05904, 121P05903, 121+05903"
17,"US-70S W @ WHITE BRIDGE PIKE/WOODMONT BLVD","121P05892","36.12476","-86.84793","0.56"," 7 h 37 m","9 d 12 h 43 m","0","21,053","4,740","93,431","7,307","4,391,173","121P05892, 121+05892, 121+05893, 121+08648, 121P08618, 121+08618, 121+08649, 121+08650"
